-78,-60,-88,-88,-73,-68,-95,-89,-80,-95,-87,-95,-95,-75,-71,-66,-95,-87,-95,-95,-47,-95,-61,-95,-95,-95,-84,-95,-89

-95,-95,-95,-82,-95,-67,-74,-95,-95,-79,-69,-95,-72,-84,-72,-95,-75,-72,-86,-95,-75,-95,-43,-80,-95,-71,-61,-95,-69

-82,-61,-89,-88,-79,-78,-95,-95,-86,-95,-78,-95,-95,-86,-77,-77,-95,-88,-95,-95,-35,-95,-77,-95,-95,-95,-87,-95,-95

-95,-88,-95,-82,-95,-76,-75,-95,-85,-75,-64,-95,-73,-86,-79,-86,-69,-72,-84,-95,-83,-95,-64,-77,-95,-63,-71,-95,-71

-95,-95,-95,-82,-95,-74,-65,-95,-95,-68,-71,-95,-78,-95,-71,-95,-68,-75,-85,-86,-95,-95,-58,-82,-95,-72,-67,-95,-56

-95,-84,-95,-83,-95,-54,-81,-95,-95,-69,-75,-95,-76,-86,-60,-86,-70,-86,-84,-95,-79,-95,-49,-87,-95,-77,-61,-95,-68

-95,-88,-95,-87,-95,-73,-68,-95,-86,-70,-72,-95,-81,-85,-74,-86,-62,-78,-74,-95,-83,-95,-59,-79,-95,-82,-65,-95,-63

-95,-95,-95,-75,-95,-78,-75,-95,-84,-82,-70,-95,-77,-73,-79,-95,-54,-68,-79,-95,-95,-95,-63,-64,-95,-49,-71,-95,-72

-95,-95,-95,-75,-95,-78,-70,-95,-84,-82,-63,-95,-67,-73,-79,-95,-71,-68,-83,-95,-95,-95,-67,-70,-95,-60,-64,-95,-68

-86,-80,-88,-84,-82,-46,-86,-86,-84,-87,-87,-95,-84,-82,-45,-80,-85,-87,-95,-95,-65,-95,-47,-95,-95,-87,-79,-95,-77

-80,-51,-95,-84,-73,-72,-81,-95,-89,-88,-83,-95,-88,-75,-70,-63,-85,-83,-95,-95,-46,-95,-74,-89,-95,-95,-82,-95,-87

-95,-85,-95,-78,-95,-55,-77,-95,-95,-83,-82,-95,-80,-87,-57,-91,-74,-73,-83,-95,-76,-95,-45,-85,-95,-83,-70,-95,-78

-58,-74,-49,-95,-60,-95,-95,-88,-80,-95,-76,-95,-95,-81,-95,-78,-95,-90,-95,-95,-83,-88,-95,-95,-89,-95,-82,-87,-95

-76,-57,-86,-95,-78,-81,-95,-95,-83,-95,-95,-95,-95,-81,-74,-81,-95,-95,-95,-95,-39,-95,-71,-95,-95,-95,-82,-95,-95

-95,-81,-95,-80,-89,-49,-85,-95,-95,-87,-88,-95,-89,-81,-46,-85,-85,-85,-88,-95,-70,-95,-46,-89,-95,-86,-80,-95,-81

-30,-67,-61,-95,-54,-95,-95,-95,-84,-95,-75,-85,-95,-87,-95,-77,-95,-83,-90,-95,-79,-87,-95,-95,-88,-95,-85,-83,-95

-95,-71,-95,-77,-86,-48,-81,-95,-95,-88,-87,-95,-88,-82,-54,-74,-85,-85,-88,-95,-61,-95,-55,-89,-95,-86,-76,-95,-85

-95,-88,-95,-82,-95,-76,-75,-95,-76,-74,-73,-95,-69,-82,-71,-86,-65,-76,-81,-95,-83,-95,-57,-77,-95,-67,-72,-95,-61

-56,-58,-71,-82,-45,-83,-95,-95,-77,-95,-73,-95,-95,-81,-84,-64,-95,-70,-95,-95,-89,-95,-86,-95,-95,-95,-82,-69,-95

-95,-81,-95,-76,-95,-59,-81,-95,-95,-82,-79,-95,-86,-83,-56,-86,-80,-89,-84,-95,-81,-95,-46,-87,-95,-80,-67,-95,-76

-86,-71,-88,-75,-85,-58,-82,-86,-84,-95,-86,-95,-88,-80,-53,-79,-95,-87,-95,-95,-61,-95,-60,-95,-95,-95,-84,-95,-82

-57,-64,-82,-82,-59,-81,-95,-95,-76,-95,-41,-95,-95,-75,-78,-44,-95,-60,-95,-95,-78,-95,-86,-95,-95,-95,-84,-95,-95

-95,-83,-95,-77,-95,-47,-83,-95,-95,-79,-86,-95,-80,-80,-49,-91,-79,-84,-83,-95,-77,-95,-28,-86,-95,-82,-71,-95,-74

-51,-79,-56,-95,-71,-95,-95,-88,-83,-95,-83,-95,-95,-81,-95,-78,-95,-86,-95,-95,-85,-88,-95,-95,-85,-95,-82,-89,-95

-68,-45,-83,-80,-52,-74,-81,-95,-86,-88,-58,-95,-88,-73,-79,-56,-95,-81,-95,-95,-63,-95,-75,-95,-95,-95,-85,-95,-87

-95,-95,-95,-80,-95,-68,-56,-95,-95,-67,-73,-95,-71,-95,-73,-95,-63,-80,-83,-86,-95,-95,-59,-75,-95,-73,-66,-95,-45

-95,-83,-95,-76,-82,-58,-72,-95,-95,-81,-84,-95,-81,-82,-51,-85,-81,-89,-89,-95,-79,-95,-41,-87,-95,-84,-73,-95,-77

-95,-95,-95,-88,-95,-68,-54,-95,-95,-65,-74,-95,-70,-95,-71,-95,-69,-74,-85,-86,-95,-95,-52,-76,-95,-71,-67,-95,-55

-80,-58,-89,-85,-74,-70,-95,-95,-86,-95,-88,-95,-95,-82,-74,-64,-95,-88,-95,-95,-46,-95,-77,-95,-95,-95,-82,-95,-89

-83,-56,-89,-83,-72,-68,-95,-89,-87,-95,-75,-95,-95,-78,-69,-63,-95,-87,-95,-95,-43,-95,-68,-95,-95,-95,-81,-95,-89

-95,-95,-95,-82,-95,-67,-62,-95,-95,-70,-72,-95,-77,-95,-62,-95,-71,-73,-83,-86,-75,-95,-52,-79,-95,-72,-64,-95,-43

-95,-95,-95,-82,-95,-63,-76,-95,-95,-79,-65,-95,-72,-84,-63,-95,-79,-72,-88,-95,-75,-95,-45,-80,-95,-70,-57,-95,-70

-74,-58,-84,-95,-80,-84,-95,-95,-85,-95,-95,-95,-95,-71,-82,-84,-95,-95,-95,-95,-36,-95,-77,-95,-95,-95,-83,-95,-95

-41,-68,-62,-95,-55,-95,-95,-95,-77,-95,-66,-95,-95,-76,-95,-73,-95,-74,-95,-95,-84,-87,-95,-95,-88,-95,-76,-88,-95

-95,-77,-95,-80,-87,-45,-83,-95,-95,-87,-87,-95,-89,-82,-49,-85,-85,-85,-88,-95,-61,-95,-54,-89,-95,-86,-80,-95,-75

-69,-54,-87,-81,-56,-78,-95,-95,-86,-95,-67,-95,-95,-74,-78,-39,-95,-68,-95,-95,-63,-95,-78,-95,-95,-95,-85,-95,-87

-95,-88,-95,-82,-95,-76,-77,-95,-76,-67,-69,-95,-73,-82,-71,-86,-68,-70,-77,-95,-83,-95,-58,-77,-95,-65,-71,-95,-67

-95,-88,-95,-74,-95,-78,-77,-95,-85,-71,-64,-95,-68,-86,-79,-86,-62,-70,-71,-95,-83,-95,-62,-73,-95,-67,-75,-95,-64

-95,-83,-95,-76,-95,-48,-70,-95,-95,-82,-83,-95,-80,-80,-48,-91,-76,-84,-83,-95,-83,-95,-33,-85,-95,-78,-71,-95,-74

-82,-61,-87,-88,-77,-80,-95,-95,-85,-95,-73,-95,-95,-83,-81,-83,-95,-89,-95,-95,-34,-95,-77,-95,-95,-95,-84,-95,-95

-46,-74,-61,-95,-56,-95,-95,-88,-81,-95,-74,-95,-95,-82,-95,-71,-95,-78,-95,-95,-81,-87,-95,-95,-88,-95,-73,-88,-95

-95,-95,-95,-80,-95,-68,-60,-95,-95,-58,-75,-95,-70,-95,-71,-95,-69,-75,-83,-86,-95,-95,-52,-75,-95,-73,-68,-95,-46

-95,-85,-95,-79,-95,-63,-77,-95,-95,-75,-80,-95,-79,-84,-61,-95,-67,-74,-78,-95,-79,-95,-43,-80,-95,-78,-67,-95,-72

-41,-74,-56,-82,-63,-83,-95,-88,-79,-95,-75,-95,-95,-83,-84,-71,-95,-79,-95,-95,-82,-95,-86,-95,-95,-95,-82,-89,-95

-43,-65,-69,-95,-58,-95,-95,-95,-75,-95,-76,-85,-95,-81,-95,-70,-95,-75,-90,-95,-84,-87,-95,-95,-88,-95,-78,-83,-95

-47,-77,-56,-82,-61,-83,-95,-88,-83,-95,-78,-95,-95,-81,-95,-76,-95,-82,-95,-95,-82,-85,-95,-95,-89,-95,-86,-89,-95

-44,-70,-57,-82,-65,-83,-95,-88,-80,-95,-75,-95,-95,-82,-84,-70,-95,-85,-95,-95,-83,-84,-86,-95,-89,-95,-82,-89,-95

-58,-63,-82,-83,-56,-84,-95,-95,-74,-95,-57,-95,-95,-60,-84,-43,-95,-70,-95,-95,-78,-95,-86,-95,-95,-95,-84,-89,-95

-95,-81,-95,-76,-95,-64,-82,-95,-95,-82,-84,-95,-86,-83,-60,-86,-80,-89,-89,-95,-79,-95,-42,-87,-95,-84,-69,-95,-81

-95,-76,-95,-79,-85,-47,-78,-95,-95,-81,-87,-95,-87,-81,-49,-85,-84,-85,-88,-95,-71,-95,-45,-86,-95,-86,-75,-95,-82

-95,-95,-95,-83,-95,-63,-58,-95,-95,-70,-73,-95,-77,-84,-62,-95,-78,-82,-87,-95,-75,-95,-47,-77,-95,-74,-73,-95,-69

-80,-56,-87,-88,-78,-76,-95,-95,-90,-95,-71,-95,-95,-83,-72,-76,-95,-89,-95,-95,-38,-95,-71,-95,-95,-95,-84,-95,-95

-86,-65,-95,-80,-78,-61,-81,-95,-88,-88,-90,-95,-88,-75,-61,-73,-85,-89,-88,-95,-53,-95,-60,-89,-95,-86,-83,-95,-87

-95,-81,-95,-78,-82,-50,-77,-95,-95,-82,-85,-95,-88,-82,-58,-85,-81,-89,-95,-95,-79,-95,-39,-85,-95,-88,-71,-95,-72

-74,-59,-82,-95,-81,-82,-95,-95,-85,-95,-95,-95,-95,-73,-79,-83,-95,-95,-95,-95,-35,-95,-72,-95,-95,-95,-82,-95,-95

-95,-81,-95,-77,-82,-55,-83,-95,-84,-85,-83,-95,-84,-80,-54,-86,-87,-95,-95,-95,-65,-95,-45,-95,-95,-87,-76,-95,-73

-95,-95,-95,-82,-95,-77,-72,-95,-84,-76,-69,-95,-71,-95,-76,-95,-56,-70,-78,-86,-95,-95,-61,-70,-95,-52,-63,-95,-69

-95,-95,-95,-82,-95,-61,-77,-95,-95,-72,-72,-95,-75,-84,-57,-95,-75,-74,-86,-95,-79,-95,-43,-80,-95,-68,-75,-95,-64

-95,-81,-95,-82,-85,-45,-82,-95,-95,-80,-87,-95,-84,-80,-44,-91,-85,-85,-88,-95,-73,-95,-45,-86,-95,-86,-71,-95,-75

-83,-58,-87,-88,-77,-80,-95,-95,-85,-95,-73,-95,-95,-87,-73,-75,-95,-89,-95,-95,-34,-95,-71,-95,-95,-95,-84,-95,-95

-42,-64,-68,-82,-57,-83,-95,-95,-76,-95,-72,-95,-95,-83,-84,-67,-95,-88,-95,-95,-86,-95,-86,-95,-95,-95,-78,-88,-95

-86,-74,-88,-74,-82,-60,-84,-86,-84,-88,-90,-95,-88,-80,-56,-82,-95,-87,-95,-95,-69,-95,-52,-95,-95,-95,-83,-95,-81

-95,-95,-95,-82,-95,-77,-72,-95,-84,-81,-70,-95,-62,-95,-76,-95,-53,-69,-76,-95,-95,-95,-58,-69,-95,-60,-65,-95,-70

-56,-67,-76,-82,-62,-83,-95,-95,-80,-95,-65,-95,-95,-60,-84,-53,-95,-68,-95,-95,-75,-95,-86,-95,-95,-95,-82,-87,-95

-74,-56,-83,-95,-81,-80,-95,-95,-83,-95,-95,-95,-95,-71,-79,-82,-95,-95,-95,-95,-36,-95,-78,-95,-95,-95,-82,-95,-95

-95,-95,-95,-83,-95,-62,-76,-95,-95,-73,-73,-95,-77,-84,-62,-95,-79,-82,-83,-95,-75,-95,-41,-80,-95,-76,-57,-95,-69

-86,-83,-88,-74,-82,-53,-87,-86,-84,-88,-88,-95,-88,-85,-51,-82,-95,-87,-95,-95,-62,-95,-50,-95,-95,-95,-83,-95,-82

-50,-80,-56,-82,-70,-95,-95,-88,-83,-95,-81,-95,-95,-81,-95,-78,-95,-81,-95,-95,-83,-88,-95,-95,-83,-95,-82,-89,-95

-42,-77,-58,-82,-61,-83,-95,-88,-83,-95,-74,-95,-95,-83,-84,-77,-95,-75,-95,-95,-83,-89,-86,-95,-95,-95,-82,-89,-95

-95,-95,-95,-80,-95,-67,-71,-95,-84,-63,-66,-95,-70,-95,-70,-95,-54,-70,-80,-86,-95,-95,-53,-74,-95,-67,-66,-95,-59

-85,-66,-95,-80,-78,-67,-81,-95,-88,-88,-88,-95,-88,-78,-61,-76,-85,-81,-88,-95,-44,-95,-62,-89,-95,-86,-78,-95,-87

-95,-85,-95,-77,-95,-49,-77,-95,-95,-80,-83,-95,-80,-80,-56,-91,-74,-73,-83,-95,-73,-95,-39,-85,-95,-81,-68,-95,-73

-73,-57,-83,-95,-80,-79,-95,-95,-84,-95,-95,-95,-95,-72,-78,-81,-95,-95,-95,-95,-34,-95,-77,-95,-95,-95,-82,-95,-95

-95,-95,-95,-68,-95,-80,-82,-95,-80,-84,-66,-95,-66,-73,-79,-95,-72,-62,-74,-95,-83,-95,-71,-80,-95,-63,-76,-95,-77

-43,-64,-71,-82,-40,-83,-95,-95,-77,-95,-67,-95,-95,-81,-84,-64,-95,-69,-95,-95,-89,-95,-86,-95,-95,-95,-82,-89,-95

-25,-67,-61,-95,-47,-95,-95,-95,-85,-95,-73,-82,-95,-87,-95,-73,-95,-83,-90,-95,-81,-87,-95,-95,-88,-95,-85,-83,-95

